comments,brand_name,cleaned_comment
Economical.,Khaddi,economical
Mostly collection for ladies,Khaddi,mostly collection for ladies
Grand,Khaddi,grand
Trendy,Khaddi,trendy
Nothing to say,Khaddi,nothing to say
Outstanding,Khaddi,outstanding
Good shopping,Khaddi,good shopping
Clothing market' brands' expensive,Khaddi,clothing market brands expensive
Nice place...,Khaddi,nice place
Good environment,Khaddi,good environment
Good,Khaddi,good
The new khaadi store in town the design of store is awesome ?? the iconic design of the building in Bahawalpur overall ambiance is good for shopping ?? of unique design of fabric.,Khaddi,the new khaadi store in town the design of store is awesome the iconic design of the building in bahawalpur overall ambiance is good for shopping of unique design of fabric
"One of the best design brand in Ready to wear clothes, staff is very supportive and professional. Best of all, they wear mask and ask customers to wear too! Kids variety is not available,  for that go to DC office branch.",Limelight,one of the best design brand in ready to wear clothes staff is very supportive and professional best of all they wear mask and ask customers to wear too kids variety is not available for that go to dc office branch
Good quality stuff is available here in this store price are also reasonable rather than other clothing stores in bwp,Limelight,good quality stuff is available here in this store price are also reasonable rather than other clothing stores in bwp
Goods are fresh. Good staff,Limelight,goods are fresh good staff
average normal variety ..not maximum range they hav..,Limelight,average normal variety not maximum range they hav
My favourite place to buy ready to wear clothes.,Limelight,my favourite place to buy ready to wear clothes
Ladies brand store in bahawalpur near to welcome chowk... Good variety & affordable prices.. road access is clean and spacious.,Limelight,ladies brand store in bahawalpur near to welcome chowk good variety affordable prices road access is clean and spacious
Cheap and quality products available here,Limelight,cheap and quality products available here
"Nice Decor , Nice Staff, very Organised ,",Limelight,nice decor nice staff very organised
Price quality and service matching,Limelight,price quality and service matching
It's a Good place,Limelight,its a good place
Nice ladies clothing collection for ladies,Limelight,nice ladies clothing collection for ladies
Economical and stylish,Limelight,economical and stylish
Very good place,Limelight,very good place
Good for shopping,Limelight,good for shopping
Because I love this brand... And all the stock of this brand good,Limelight,because i love this brand and all the stock of this brand good
Nice place for ahoping,Limelight,nice place for ahoping
Very good staff,Limelight,very good staff
Nice branded shop,Limelight,nice branded shop
Very nice collection and even nicer staff and customer service. Very pleased with the people here.,Limelight,very nice collection and even nicer staff and customer service very pleased with the people here
Not so good,Limelight,not so good
Nice place for shopping,Limelight,nice place for shopping
Amazing,Limelight,amazing
Once again. Great experience. Good atmosphere and positive attitude of salesmen. Thumbs up,Limelight,once again great experience good atmosphere and positive attitude of salesmen thumbs up
Good clothes retailer. Polite salesmen.,Limelight,good clothes retailer polite salesmen
Good prints. Customer service is very good,Limelight,good prints customer service is very good
Good best ever dresses latest fashion,Limelight,good best ever dresses latest fashion
Great,Limelight,great
Good suiting,Limelight,good suiting
A good place for quality cloths with reasonable price.,Limelight,a good place for quality cloths with reasonable price
Clothing store,Limelight,clothing store
Has Something to get 5 stars,Limelight,has something to get stars
so so quality metirial available,Limelight,so so quality metirial available
Small shop size,Limelight,small shop size
Very nice place for stich & unstich wearing must bh visited,Limelight,very nice place for stich unstich wearing must bh visited
Good stuff for my best half,Limelight,good stuff for my best half
Good place for ladies stitch cloths.,Limelight,good place for ladies stitch cloths
They should increase their stock,Limelight,they should increase their stock
Nice designes for females and economicsl prices.,Limelight,nice designes for females and economicsl prices
Good place for designer cloths shopping,Limelight,good place for designer cloths shopping
Nice,Limelight,nice
Nice,Limelight,nice
It is the good brand in bahawalpur for clothes....,Limelight,it is the good brand in bahawalpur for clothes
Good,Limelight,good
Nice place for women clothes,Limelight,nice place for women clothes
It's good,Limelight,its good
best collection.,Limelight,best collection
Nice combinational dresses with jewellery,Limelight,nice combinational dresses with jewellery
Best clothes in Town,Limelight,best clothes in town
Affordable clothing,Limelight,affordable clothing
Expensive,Limelight,expensive
Great collection,Limelight,great collection
Very good ,Limelight,very good
Great,Limelight,great
Nice stuff good price,Limelight,nice stuff good price
Good female dresses but not so good,Limelight,good female dresses but not so good
It is wonderful brand,Limelight,it is wonderful brand
Good,Limelight,good
Nice brand,Limelight,nice brand
Nice staff good center,Limelight,nice staff good center
Nice but costly.,Limelight,nice but costly
Clothe brand with fixed prices,Limelight,clothe brand with fixed prices
Trendy women clothing store,Limelight,trendy women clothing store
My favourite place,Limelight,my favourite place
Wel Done,Limelight,wel done
Lovely dresses,Limelight,lovely dresses
Exclusive store for women clothing.,Limelight,exclusive store for women clothing
V.good,Limelight,vgood
good,Limelight,good
Excellent,Limelight,excellent
Best,Limelight,best
Low quality,Limelight,low quality
It was Fantastic,Limelight,it was fantastic
Average,Limelight,average
Prices r so high,Limelight,prices r so high
Female dresses,Limelight,female dresses
Lots of variety,Limelight,lots of variety
good one,Limelight,good one
Good shop,Limelight,good shop
Very good,Limelight,very good
Ladies Shopping,Limelight,ladies shopping
Nice one ,Limelight,nice one
Just ok,Limelight,just ok
Popular for ready clothes,Limelight,popular for ready clothes
Awesome quality and collection,nishatlinen,awesome quality and collection
Best quality fabric and design,nishatlinen,best quality fabric and design
"Very non cooperative staff .
I go there just on the name of Nishat",nishatlinen,very non cooperative staff i go there just on the name of nishat
Nice place to take clothes and house stuff bedsheets stallers n much more.,nishatlinen,nice place to take clothes and house stuff bedsheets stallers n much more
Good store,nishatlinen,good store
Nice store for shopping,nishatlinen,nice store for shopping
Good place to empty pocket,nishatlinen,good place to empty pocket
"Like always, great experience with warm welcome, best customer service and even better products. Love to visit this place.",nishatlinen,like always great experience with warm welcome best customer service and even better products love to visit this place
Good place to visit,nishatlinen,good place to visit
Nice place.,nishatlinen,nice place
Good,nishatlinen,good
One of my favourite  outlet ... just loved it â¤,nishatlinen,one of my favourite outlet just loved it â
Awesome verity of clothes,nishatlinen,awesome verity of clothes
Not to much excited about prints and designes but   stiff and fabric nodoubt of good quality,nishatlinen,not to much excited about prints and designes but stiff and fabric nodoubt of good quality
Nice place for ladies garment shoping,nishatlinen,nice place for ladies garment shoping
A premium shopping place for fabrics,nishatlinen,a premium shopping place for fabrics
Having always a good experience whenever we visit this place for shoping.,nishatlinen,having always a good experience whenever we visit this place for shoping
An awesome well organised place to be in,nishatlinen,an awesome well organised place to be in
Less verity then the outlets in Lahore,nishatlinen,less verity then the outlets in lahore
A one place for shopping,nishatlinen,a one place for shopping
Good,nishatlinen,good
Nice,nishatlinen,nice
Nice collection,nishatlinen,nice collection
Good,nishatlinen,good
Fine store,nishatlinen,fine store
Good Service,nishatlinen,good service
Expensive but amazing quality,nishatlinen,expensive but amazing quality
Excellent vendor,nishatlinen,excellent vendor
Brand clothe store with fixed prices.,nishatlinen,brand clothe store with fixed prices
Nice place to visit,nishatlinen,nice place to visit
Good,nishatlinen,good
Expensive but good,nishatlinen,expensive but good
Nishat Linen Bahawalpur is good store,nishatlinen,nishat linen bahawalpur is good store
Great,nishatlinen,great
Royal,nishatlinen,royal
Nice,nishatlinen,nice
Wonderful,nishatlinen,wonderful
Wonderful,nishatlinen,wonderful
Good,nishatlinen,good
nice,nishatlinen,nice
V good,nishatlinen,v good
Good variety of all types of clothes under fair prices,one,good variety of all types of clothes under fair prices
Reasonable pricing.,one,reasonable pricing
Amazing customer services. Very humble staff,one,amazing customer services very humble staff
Great Experience.. Quality Stuff,one,great experience quality stuff
For shoping,one,for shoping
Good,one,good
"Nice brand, on low price, good quality",one,nice brand on low price good quality
Good place to shop,one,good place to shop
Shopping Brand,one,shopping brand
Rates are high as compared to quality,one,rates are high as compared to quality
Very good quality western clothing in affordable prices,one,very good quality western clothing in affordable prices
Shopping fare,one,shopping fare
Good stuff price high,one,good stuff price high
"I absolutely love them.  I was still genuinely surprised at the quality of the material as soon as I opened the package. The material has some weight to it - doesn't feel cheap, thin or flimsy at all, and is soft to the touch. Be warned â€¦",Outfitters,i absolutely love them i was still genuinely surprised at the quality of the material as soon as i opened the package the material has some weight to it doesnt feel cheap thin or flimsy at all and is soft to the touch be warned â
"I love it
Always shop here",Outfitters,i love it always shop here
I buy baby clothes ..good collection,Outfitters,i buy baby clothes good collection
Best place for shopping here you can buy each and every thing for yourself.,Outfitters,best place for shopping here you can buy each and every thing for yourself
Good products and nice staff,Outfitters,good products and nice staff
Service was perfect. Quality and price were affordable and the summer sale was above all.,Outfitters,service was perfect quality and price were affordable and the summer sale was above all
Always loved their stuff.,Outfitters,always loved their stuff
Loved their new winter collection,Outfitters,loved their new winter collection
Its a good branch dealing of the staff is OK and and stock is also reasonable maintained then the other branches,Outfitters,its a good branch dealing of the staff is ok and and stock is also reasonable maintained then the other branches
"Very Organised, Clean , Supportive Staff ,",Outfitters,very organised clean supportive staff
"Outfitters store has not a full range of items. Just has average collection. Trendy stuff for gents , ladies and kids. New styles are also displayed by the staff but these designs and styles are not so good to be purchased. Footware â€¦",Outfitters,outfitters store has not a full range of items just has average collection trendy stuff for gents ladies and kids new styles are also displayed by the staff but these designs and styles are not so good to be purchased footware â
Better outlet.,Outfitters,better outlet
Outfitters is great but expensive. They should have more options too!!,Outfitters,outfitters is great but expensive they should have more options too
Nice bought something today will give it a try ...... Then will add review again ðŸ˜‹ðŸ˜‡,Outfitters,nice bought something today will give it a try then will add review again ðÿðÿ
I love its shoes...,Outfitters,i love its shoes
Always my favourite,Outfitters,always my favourite
Had Nice stock,Outfitters,had nice stock
Zero star . They are disgraceful selling bad and olddated stuff. Torn clothes in most of the branches,Outfitters,zero star they are disgraceful selling bad and olddated stuff torn clothes in most of the branches
Good brand,Outfitters,good brand
Good quality of products. Good service and shop,Outfitters,good quality of products good service and shop
"Shopping Centre
Not a Vast variety here
Casual dresses are more
Watches are available at sensible prize",Outfitters,shopping centre not a vast variety here casual dresses are more watches are available at sensible prize
Best baby collections,Outfitters,best baby collections
Its ok,Outfitters,its ok
Amazing kid's range.,Outfitters,amazing kids range
Nice brands and nice dezine...outclass,Outfitters,nice brands and nice dezineoutclass
Best one,Outfitters,best one
It is one of the best clothig brand of a ages,Outfitters,it is one of the best clothig brand of a ages
Very peaceful and nice place,Outfitters,very peaceful and nice place
I bought a baby shoe and the size was smaller than my kid size. I asked that plz confirm it from your other outlet which is placed in Haqi center and after confirmation they said large size of that article is not available at that outlet while i visit the Haqi center just after half an hour the large size of same article was available there. They are deceiving the customers,Outfitters,i bought a baby shoe and the size was smaller than my kid size i asked that plz confirm it from your other outlet which is placed in haqi center and after confirmation they said large size of that article is not available at that outlet while i visit the haqi center just after half an hour the large size of same article was available there they are deceiving the customers
Not much variety but Moderate prices,Outfitters,not much variety but moderate prices
Good stuff as compared to other brands but sizes issue always specially shoes.,Outfitters,good stuff as compared to other brands but sizes issue always specially shoes
Good place for all kind of clothes,Outfitters,good place for all kind of clothes
Reasonable clothing with prices in your reach,Outfitters,reasonable clothing with prices in your reach
Expensive Garments,Outfitters,expensive garments
Nice,Outfitters,nice
Awesome place for shopping,Outfitters,awesome place for shopping
Nice place.,Outfitters,nice place
Upto 50% sale currently . Nice collection casaual and formal as well . Must visit,Outfitters,upto sale currently nice collection casaual and formal as well must visit
Very good.  Wow.,Outfitters,very good wow
They don't have updated stock there. And the sales boy was rude and not helpful at all.,Outfitters,they dont have updated stock there and the sales boy was rude and not helpful at all
Good quality of products,Outfitters,good quality of products
Good shop,Outfitters,good shop
Stuff is not good but stitching is mond blowing. Most of shirts' color fade away in sunlight beware.,Outfitters,stuff is not good but stitching is mond blowing most of shirts color fade away in sunlight beware
Nice brand for bwp,Outfitters,nice brand for bwp
Good at sale,Outfitters,good at sale
Various variety for casual lovers,Outfitters,various variety for casual lovers
Complete range same like lhr and Karachi stores ....,Outfitters,complete range same like lhr and karachi stores
Bit expensive as per quality,Outfitters,bit expensive as per quality
Awsome,Outfitters,awsome
Nice branding hear,Outfitters,nice branding hear
Best quality but too expensive,Outfitters,best quality but too expensive
Clothing store,Outfitters,clothing store
so so,Outfitters,so so
Not too much variety,Outfitters,not too much variety
stock of variety not available,Outfitters,stock of variety not available
Try room mostly closed,Outfitters,try room mostly closed
Nice Brand,Outfitters,nice brand
Variety of wearables,Outfitters,variety of wearables
Good collection,Outfitters,good collection
Nice brand,Outfitters,nice brand
Shortage of variety..,Outfitters,shortage of variety
Awesomely,Outfitters,awesomely
waste,Outfitters,waste
Excellent,Outfitters,excellent
Loved it,Outfitters,loved it
Good collection,Outfitters,good collection
"it,s a good clothing  brand.",Outfitters,its a good clothing brand
"Good clothes, excellent environment. Staff behaviour is very good. Location of the outlet is best with fair parking space. Since day 1 they have been treating their customers well.",Sapphire,good clothes excellent environment staff behaviour is very good location of the outlet is best with fair parking space since day they have been treating their customers well
this shop is situated in dubai chowk bahawal pur infront of go petrol pump opposite side,Sapphire,this shop is situated in dubai chowk bahawal pur infront of go petrol pump opposite side
It is sphaire clothing brand flagship shop in Bahawalpur,Sapphire,it is sphaire clothing brand flagship shop in bahawalpur
It's my favorite clothing brand so far but clothes go out of stock very fast and restock bhi nai hoty,Sapphire,its my favorite clothing brand so far but clothes go out of stock very fast and restock bhi nai hoty
Compact and at prime location of The City.,Sapphire,compact and at prime location of the city
Good place for family shopping ,Sapphire,good place for family shopping
Great place! They recently had sale 50 percent of!! Enjoyable for women who are interested in clothes but it is quite expensive!,Sapphire,great place they recently had sale percent of enjoyable for women who are interested in clothes but it is quite expensive
They have very nice products . Provide best quality products.,Sapphire,they have very nice products provide best quality products
"Good place,
I visited this shop Sapphire Cloth and i got a good service here. The quality of Things of this shop is very good. The quailty of Cloths of this shop is great.
Nice place
I suggest you to go there and enjoy.
Love this place.
Thank you.
Have a nice day Friends",Sapphire,good place i visited this shop sapphire cloth and i got a good service here the quality of things of this shop is very good the quailty of cloths of this shop is great nice place i suggest you to go there and enjoy love this place thank you have a nice day friends
Too expensive for me,Sapphire,too expensive for me
Good customer service,Sapphire,good customer service
Winter collection and female perfumes are good,Sapphire,winter collection and female perfumes are good
Neat clean,Sapphire,neat clean
I personally don't recommend this place .,Sapphire,i personally dont recommend this place
My experience was very good. I always appreciate its vibrant colours and unique designs,Sapphire,my experience was very good i always appreciate its vibrant colours and unique designs
The best place for ladies or kids shopping,Sapphire,the best place for ladies or kids shopping
Best place to eat,Sapphire,best place to eat
It's ok,Sapphire,its ok
Best place where u find clothes and food also the lodging service..,Sapphire,best place where u find clothes and food also the lodging service
Best ground for sports.,Sapphire,best ground for sports
Little expensive but high quality,Sapphire,little expensive but high quality
Good,Sapphire,good
Rushed point,Sapphire,rushed point
Awesome place for shopping,Sapphire,awesome place for shopping
Never go there. But ok,Sapphire,never go there but ok
Parking is a big issue here,Sapphire,parking is a big issue here
Always good stuff,Sapphire,always good stuff
"A good shopping mall..
Lov to did shopping.",Sapphire,a good shopping mall lov to did shopping
Good outlet in Bwp,Sapphire,good outlet in bwp
Nice for shopping but rates are higher than market,Sapphire,nice for shopping but rates are higher than market
the one and only brand u can trust,Sapphire,the one and only brand u can trust
Its good place but spend mony too much,Sapphire,its good place but spend mony too much
Batter clothes,Sapphire,batter clothes
it is branded clothes shoping maal and hotel,Sapphire,it is branded clothes shoping maal and hotel
Nice,Sapphire,nice
Good,Sapphire,good
Good,Sapphire,good
It is on main road and the staff was very helpful,Sapphire,it is on main road and the staff was very helpful
Nice place,Sapphire,nice place
"I actually love this place. Their prints and stuff is outstanding. They are different from others like, NL, And warda, they seems tooo typical specially in Bahawalpur. But the Sapphire is better than the other too. most important thing is they offer a whole cool stuff on sales too.. Jewelry section and goggles are my weakness. ðŸ’â¤ï¸",Sapphire,i actually love this place their prints and stuff is outstanding they are different from others like nl and warda they seems tooo typical specially in bahawalpur but the sapphire is better than the other too most important thing is they offer a whole cool stuff on sales too jewelry section and goggles are my weakness ðÿâï
"Very cooperative staff.
Need to work on return/change policy",Sapphire,very cooperative staff need to work on returnchange policy
"The Poor quality of services, in sale days they throw clothes like before dogs, inhuman attitude also owner enjoys snatching between women as promote such vulgar services. They also record videos of customers in cctv and enjoy.",Sapphire,the poor quality of services in sale days they throw clothes like before dogs inhuman attitude also owner enjoys snatching between women as promote such vulgar services they also record videos of customers in cctv and enjoy
yes   u must visit sapphire when they put sale,Sapphire,yes u must visit sapphire when they put sale
Very expensive clothes. Not a good place for middle class persons.,Sapphire,very expensive clothes not a good place for middle class persons
"Well managed
New arrivals
Fresh designed dresses",Sapphire,well managed new arrivals fresh designed dresses
Really good,Sapphire,really good
Nice environment. Great styles and choices. Unique,Sapphire,nice environment great styles and choices unique
Very good,Sapphire,very good
"Flagship Sapphire Clothing outlet.
Easily accessible, ambiant and cozy, this place is by far posh than other stores in their line up",Sapphire,flagship sapphire clothing outlet easily accessible ambiant and cozy this place is by far posh than other stores in their line up
"Awesome summer collection, but they need restocking of some out of stock good stuff",Sapphire,awesome summer collection but they need restocking of some out of stock good stuff
Amazing management,Sapphire,amazing management
Very helpful staff especially Hammad. Highly recommend,Sapphire,very helpful staff especially hammad highly recommend
Pizza of better quality offers new deals relatively better place,Sapphire,pizza of better quality offers new deals relatively better place
A great brand under a great roof,Sapphire,a great brand under a great roof
Descent market,Sapphire,descent market
A good shopping place but comparatively lesser variety,Sapphire,a good shopping place but comparatively lesser variety
Great shopping mall.,Sapphire,great shopping mall
"You can buy stitched clothes mans,womens and kids",Sapphire,you can buy stitched clothes manswomens and kids
Well behaved staff...,Sapphire,well behaved staff
sapphire is very good shop fpr cloths,Sapphire,sapphire is very good shop fpr cloths
The clothes are very expencieve here,Sapphire,the clothes are very expencieve here
"Sapphire colth avenue mall.
is the best shopping mall.",Sapphire,sapphire colth avenue mall is the best shopping mall
Nice bright location with easy access and free parking,Sapphire,nice bright location with easy access and free parking
With avarage range awsome cloths for gantes and ðŸšº,Sapphire,with avarage range awsome cloths for gantes and ðÿšº
Pathetic discipline. ..worse management...they should nor offer sale of they cannot manage the crowd. . Plus the stock was put with in 5 min.. no backup plan... worse experience. ...I hate it..,Sapphire,pathetic discipline worse managementthey should nor offer sale of they cannot manage the crowd plus the stock was put with in min no backup plan worse experience i hate it
Best point in bahawalpur,Sapphire,best point in bahawalpur
"Clothes quality awesome,",Sapphire,clothes quality awesome
Store was close at 4p.m with out any  information. We r from multan. We have visited outlet at 4p.m but there was no entry for customers. Staff behaviour was very rude to us.so we advised to everyone not to ever visit  Bahawlpur outlet.whynot  u open your outlet in Multan.,Sapphire,store was close at pm with out any information we r from multan we have visited outlet at pm but there was no entry for customers staff behaviour was very rude to usso we advised to everyone not to ever visit bahawlpur outletwhynot u open your outlet in multan
Good,Sapphire,good
Big outlet with good parking space,Sapphire,big outlet with good parking space
Nice collection but some times old one,Sapphire,nice collection but some times old one
Nice,Sapphire,nice
nice,Sapphire,nice
Good collection of ladies clothes,Sapphire,good collection of ladies clothes
Favorite brand for clothing ,Sapphire,favorite brand for clothing
Your are the boss in town.,Sapphire,your are the boss in town
Good,Sapphire,good
Must visit,Sapphire,must visit
Nice,Sapphire,nice
Best ladies clothing in town,Sapphire,best ladies clothing in town
I amloving it.,Sapphire,i amloving it
You can trust,Sapphire,you can trust
Best cloths,Sapphire,best cloths
Good one,Sapphire,good one
Beautiful shopping mall,Sapphire,beautiful shopping mall
Nice place,Sapphire,nice place
Fashion,Sapphire,fashion
Good place,Sapphire,good place
Shopping & Eating,Sapphire,shopping eating
Best cloth store in BahawalPur,Sapphire,best cloth store in bahawalpur
Too costly,Sapphire,too costly
Nice,Sapphire,nice
Good place for shopping,Sapphire,good place for shopping
Nice place,Sapphire,nice place
For branded clothes shopping,Sapphire,for branded clothes shopping
Good place,Sapphire,good place
Best stuff,Sapphire,best stuff
Expensive but good clothong,Sapphire,expensive but good clothong
Beautiful shopping experience,Sapphire,beautiful shopping experience
Tooo good,Sapphire,tooo good
GOOD,Sapphire,good
Great mall,Sapphire,great mall
Nyc,Sapphire,nyc
Nice,Sapphire,nice
Big stores and poor Parking,Sapphire,big stores and poor parking
good,Sapphire,good
Rude manager,Sapphire,rude manager
Good,Sapphire,good
Lovely,Sapphire,lovely
Great,Sapphire,great
Experience,Sapphire,experience
wow,Sapphire,wow
Branded,Sapphire,branded
ladies shopping,Sapphire,ladies shopping
Brand,Sapphire,brand
Clothes House,Sapphire,clothes house
Good,Sapphire,good
Like,Sapphire,like
great,Sapphire,great
Good,Sapphire,good
Too costly,Sapphire,too costly
Very very costly,Sapphire,very very costly
Extraordinary shopping,Sapphire,extraordinary shopping
Good place,Sapphire,good place
Average place,Sapphire,average place
Just ok,Sapphire,just ok
Nice,Sapphire,nice
Best clothing,Sapphire,best clothing
A costly cloths shop,Sapphire,a costly cloths shop
Good clothing outlet for females.,Sapphire,good clothing outlet for females
Good place,Sapphire,good place
Good place to shop,Sapphire,good place to shop
Compatible price,Sapphire,compatible price
Ok variety but expensive,Sapphire,ok variety but expensive
Satisfied,Sapphire,satisfied
Nice,Sapphire,nice
Good clothes,Sapphire,good clothes
Good shop,Sapphire,good shop
Average variety available here.,Sapphire,average variety available here
Awesome,Sapphire,awesome
Very poor services,Sapphire,very poor services
Superb variety and elegant designs.,Sapphire,superb variety and elegant designs
nice place,Sapphire,nice place
Good place for buy clothes,Sapphire,good place for buy clothes
Very good environment,Sapphire,very good environment
Nice store,Sapphire,nice store
Best,Sapphire,best
Good,Sapphire,good
Nice place,Sapphire,nice place
The manager of the outlet is a useless person. He is busy in petty matters 'look busy doing nothing' telling everyone that company is not providing staff. There are two counters and two individuals are dealing having long ques during sell. â€¦,Sapphire,the manager of the outlet is a useless person he is busy in petty matters look busy doing nothing telling everyone that company is not providing staff there are two counters and two individuals are dealing having long ques during sell â
costly but having good stuff.,Sapphire,costly but having good stuff
Loved it,Sapphire,loved it
Good stuff with nice quality of stiching but need improvement of caller color and quality,Uniworth,good stuff with nice quality of stiching but need improvement of caller color and quality
Nice collection of Men clothing,Uniworth,nice collection of men clothing
"The worst place to buy garments. I bought two trousers from Bahawalpur, tried one since both were of same size. However, later on found that the one I didn't try had smaller waist. I took both trousers back to the store, the salesman â€¦",Uniworth,the worst place to buy garments i bought two trousers from bahawalpur tried one since both were of same size however later on found that the one i didnt try had smaller waist i took both trousers back to the store the salesman â
"Good place,
I visited this shop and i got a good service here. The quality of Things of this shop is very good. The quailty of Dresses of this shop is great.
Nice place
I suggest you to go there and enjoy.
Love this place.
Thank you.
Have a nice day Friends",Uniworth,good place i visited this shop and i got a good service here the quality of things of this shop is very good the quailty of dresses of this shop is great nice place i suggest you to go there and enjoy love this place thank you have a nice day friends
The staff was very cooperative and polite. There is a wide range of clothing available here. They also stitch suites on order ( which takes around 25 days). Alteration of clothes are available as well. ðŸ™‚,Uniworth,the staff was very cooperative and polite there is a wide range of clothing available here they also stitch suites on order which takes around days alteration of clothes are available as well ðÿ
Uniworth Black is recommended. Super fine quality and stiching,Uniworth,uniworth black is recommended super fine quality and stiching
"A franchise of most famous brand shirt and tie. A quality dress shirt, pants and soots available",Uniworth,a franchise of most famous brand shirt and tie a quality dress shirt pants and soots available
my experience for formal dressing was great with them but this brand disappointed with their service on defective fabric claim. I went through a worst customer service experience with them. my trouser faded just like hell within 2 home â€¦,Uniworth,my experience for formal dressing was great with them but this brand disappointed with their service on defective fabric claim i went through a worst customer service experience with them my trouser faded just like hell within home â
Fine Men's wear,Uniworth,fine mens wear
I love it,Uniworth,i love it
I love this place really,Uniworth,i love this place really
Alteration service was a little slow,Uniworth,alteration service was a little slow
No need.,Uniworth,no need
There is a reasonable shirts and every thing,Uniworth,there is a reasonable shirts and every thing
"Awsome services and quality, but expensive.",Uniworth,awsome services and quality but expensive
Best brand,Uniworth,best brand
Best place for formal suiting.,Uniworth,best place for formal suiting
ðŸ‘,Uniworth,ðÿ
Great shopping place,Uniworth,great shopping place
Normal price range outlet,Uniworth,normal price range outlet
My favorite brand,Uniworth,my favorite brand
Good brand but no New collection,Uniworth,good brand but no new collection
Loved it,Uniworth,loved it
Good place,Uniworth,good place
They are famous for their formal wear men collection.,Uniworth,they are famous for their formal wear men collection
A name for quality.,Uniworth,a name for quality
Nice brand,Uniworth,nice brand
Good,Uniworth,good
Nice place for dress.,Uniworth,nice place for dress
Good place for office dresses and court pant,Uniworth,good place for office dresses and court pant
Quality,Uniworth,quality
Brads shop,Uniworth,brads shop
A Verity of  brands,Uniworth,a verity of brands
Classy,Uniworth,classy
Quality stuff,Uniworth,quality stuff
Nice dresses,Uniworth,nice dresses
Good clothing,Uniworth,good clothing
Good,Uniworth,good
wow,Uniworth,wow
Good,Uniworth,good
Awesome,Uniworth,awesome
A good shop for shirt and ties,Uniworth,a good shop for shirt and ties
This is A garments store avail jeans shirts pants.,Uniworth,this is a garments store avail jeans shirts pants
