comments,brand_name,cleaned_comment,sentiment,date
Factory price shop,FactoryPrice,factory price shop,Neutral,05/02/2024
Very good location....almost all brands within 100 meter range...staff is friendly...sometimes lacks latest articles...,Ideas,very good locationalmost all brands within meter rangestaff is friendlysometimes lacks latest articles,Positive,28/02/2024
Good but quality of fabric is on lower side,Ideas,good but quality of fabric is on lower side,Positive,20/02/2024
Ideas fan,Ideas,ideas fan,Neutral,06/02/2024
Variety of sritch and unstitch expensive clothes,Ideas,variety of sritch and unstitch expensive clothes,Negative,24/03/2024
I like this brand gull ahmad,Ideas,i like this brand gull ahmad,Neutral,15/01/2024
Nice,Ideas,nice,Positive,29/01/2024
Nice place to shop,Ideas,nice place to shop,Positive,25/03/2024
Expensive but top quality products,Ideas,expensive but top quality products,Neutral,23/01/2024
It's low in quality as compare to prices,Ideas,its low in quality as compare to prices,Neutral,07/01/2024
Customer dealing is very bad now,Ideas,customer dealing is very bad now,Negative,03/03/2024
Good,Ideas,good,Positive,26/03/2024
A place for brand conscious people,Ideas,a place for brand conscious people,Positive,22/03/2024
Nice,Ideas,nice,Positive,13/01/2024
Nice,Ideas,nice,Positive,14/02/2024
Best,Ideas,best,Positive,27/03/2024
Fantastic,Ideas,fantastic,Positive,18/03/2024
Clothing shop,Ideas,clothing shop,Neutral,21/03/2024
Fine,Ideas,fine,Positive,23/01/2024
Nice place,Ideas,nice place,Positive,15/01/2024
Staff was rude when we were asking size.Rates were not affordable.,Ideas,staff was rude when we were asking sizerates were not affordable,Negative,30/01/2024
Great experience. Amazing products at reasonable sale price.,jdot,great experience amazing products at reasonable sale price,Positive,07/01/2024
Very well maintained outlet.,jdot,very well maintained outlet,Positive,26/02/2024
A very good collection for male and female. Must visit for Eid shopping,jdot,a very good collection for male and female must visit for eid shopping,Positive,08/03/2024
It's always good for me to visit Junaid jamshed. Thank you J.,jdot,its always good for me to visit junaid jamshed thank you j,Positive,26/01/2024
"Very nice store having all kinds of clothes from baby to baba , ladies and gents collection.",jdot,very nice store having all kinds of clothes from baby to baba ladies and gents collection,Positive,18/01/2024
Have good experience but not much stuff.They have limited stock.,jdot,have good experience but not much stuffthey have limited stock,Positive,02/03/2024
"Beautiful looking but too expensive
Products are brand no doubt
I love it",jdot,beautiful looking but too expensive products are brand no doubt i love it,Positive,04/03/2024
Best perfumes. Matchless fragrances,jdot,best perfumes matchless fragrances,Positive,09/01/2024
Good place for perfume lover and  standard cosmetic  overall nice,jdot,good place for perfume lover and standard cosmetic overall nice,Positive,15/02/2024
Best in terms of clothing.,jdot,best in terms of clothing,Positive,21/01/2024
"One of staff person was very rude, he snatched away clothes from me, pathetic customer service.",jdot,one of staff person was very rude he snatched away clothes from me pathetic customer service,Negative,16/03/2024
"Overpriced, expensive and rates are high without any reason.
Brands in neighborhood are much more economical and better in both quality and prints.",jdot,overpriced expensive and rates are high without any reason brands in neighborhood are much more economical and better in both quality and prints,Positive,20/02/2024
Nice staff  nice stuff can purchase every type of gents and ladies staff,jdot,nice staff nice stuff can purchase every type of gents and ladies staff,Positive,09/02/2024
Flat 40% sale going on.. It's good,jdot,flat sale going on its good,Positive,31/03/2024
"Hmmm Good
But costly",jdot,hmmm good but costly,Positive,28/02/2024
Better but expansive,jdot,better but expansive,Positive,16/03/2024
Everything is fine.Need improvement in management,jdot,everything is fineneed improvement in management,Neutral,05/03/2024
Buy only during sales :) otherwise you will regret it when sale comes.,jdot,buy only during sales otherwise you will regret it when sale comes,Neutral,04/02/2024
very lazy staff.  very pushy,jdot,very lazy staff very pushy,Negative,05/03/2024
Good Place to shop especially in Sales,jdot,good place to shop especially in sales,Positive,15/02/2024
"Beautiful    dresses but
Sale  should be   available  every  month",jdot,beautiful dresses but sale should be available every month,Positive,13/03/2024
Friendly and cooperative staff with latest articles avaialable every season,jdot,friendly and cooperative staff with latest articles avaialable every season,Positive,27/03/2024
"Amazing collection center,  i will come back soon ",jdot,amazing collection center i will come back soon,Positive,15/02/2024
Love this place,jdot,love this place,Positive,13/02/2024
Good environment and strict adherence to the SOPs.,jdot,good environment and strict adherence to the sops,Positive,02/03/2024
awesome branch,jdot,awesome branch,Positive,23/01/2024
Never found good quality. 90's stuff suits.,jdot,never found good quality s stuff suits,Positive,24/02/2024
Unique and good quality stuff 9/10,jdot,unique and good quality stuff,Positive,30/03/2024
Please remove contact num if u donâ€™t have any time to pick the call,jdot,please remove contact num if u donât have any time to pick the call,Neutral,16/02/2024
This place is really amazing regarding the clothes. Style is their trademark and ofcource quality. I love their fragrances also.,jdot,this place is really amazing regarding the clothes style is their trademark and ofcource quality i love their fragrances also,Positive,07/03/2024
"Good pakistani clothing. Casual, formal and wedding. Perfumes are excellent.
Upper floor ladies section can get uncomfortably hot in summer ( AC usually turned off).",jdot,good pakistani clothing casual formal and wedding perfumes are excellent upper floor ladies section can get uncomfortably hot in summer ac usually turned off,Positive,15/03/2024
Nice clothes,jdot,nice clothes,Positive,18/02/2024
good and simple dresses and fine quality,jdot,good and simple dresses and fine quality,Positive,25/01/2024
Nothing more to say,jdot,nothing more to say,Positive,21/01/2024
Nice for cultural wears but size issue is always there problem,jdot,nice for cultural wears but size issue is always there problem,Positive,27/02/2024
A variety of stitched and un-stitched dresses here for gents and ladies. Price is also reasonable. Staff is very cooperative. Some items are very special but cost is high. Perfumes are also very nice.,jdot,a variety of stitched and unstitched dresses here for gents and ladies price is also reasonable staff is very cooperative some items are very special but cost is high perfumes are also very nice,Positive,27/02/2024
ðŸ˜•ðŸ˜•ðŸ˜•I am constantly trying to contact you but I am not getting any response. Kindly contact me i have a problem and i have very little time ðŸ˜“ðŸ˜“ðŸ˜“ðŸ˜“ðŸ˜“,jdot,ðÿðÿðÿi am constantly trying to contact you but i am not getting any response kindly contact me i have a problem and i have very little time ðÿðÿðÿðÿðÿ,Positive,13/02/2024
Best place.....mazaay if u catch a sale of 50percent. Winter cloths are outstanding,jdot,best placemazaay if u catch a sale of percent winter cloths are outstanding,Positive,25/03/2024
A brand store. Wider space and car parking. Staff is friendly and humble.,jdot,a brand store wider space and car parking staff is friendly and humble,Positive,04/01/2024
Best Designed Qurta and Clothes for Men And Women,jdot,best designed qurta and clothes for men and women,Positive,15/03/2024
Nice place,jdot,nice place,Positive,03/02/2024
Liked,jdot,liked,Positive,08/02/2024
Nice place for shopping,jdot,nice place for shopping,Positive,08/01/2024
Excellent service and stuff,jdot,excellent service and stuff,Positive,03/02/2024
It's a good place to visit and shop stitch and unstitch clothes,jdot,its a good place to visit and shop stitch and unstitch clothes,Positive,05/02/2024
Their style and clothing is very colorful and ethnic. Staff is very energetic and helpful. They allow you to shop with piece  of mind with no necessary interruption.,jdot,their style and clothing is very colorful and ethnic staff is very energetic and helpful they allow you to shop with piece of mind with no necessary interruption,Positive,21/03/2024
Superb mind-blowing behavior with customers..,jdot,superb mindblowing behavior with customers,Positive,05/02/2024
Good for shoping,jdot,good for shoping,Positive,19/02/2024
Nice place for shopping ladies and gents' suits ..  somewhat costly but very good in quality and designs... Costumer care is also good...,jdot,nice place for shopping ladies and gents suits somewhat costly but very good in quality and designs costumer care is also good,Positive,15/03/2024
Good quality and also good verity in clothes but price in some clothes are very high,jdot,good quality and also good verity in clothes but price in some clothes are very high,Positive,20/03/2024
Design,jdot,design,Neutral,18/03/2024
Welcoming staff N beautiful jewellery,jdot,welcoming staff n beautiful jewellery,Positive,17/02/2024
Not visit,jdot,not visit,Neutral,30/03/2024
"Good staff, good clothes for both men and women , makeup,  perfumes  and good management .",jdot,good staff good clothes for both men and women makeup perfumes and good management,Positive,05/01/2024
Amazing clothes,jdot,amazing clothes,Positive,12/01/2024
I like their clothes.,jdot,i like their clothes,Neutral,12/03/2024
"Nice collection for men, women and children. Perfumes are also good",jdot,nice collection for men women and children perfumes are also good,Positive,21/02/2024
"Good place for fabric,  stuff is also very good , but cozy",jdot,good place for fabric stuff is also very good but cozy,Positive,25/01/2024
Nice place,jdot,nice place,Positive,10/03/2024
All things available like garment good stuff especially krta,jdot,all things available like garment good stuff especially krta,Positive,03/03/2024
Good clothing,jdot,good clothing,Positive,27/02/2024
Big outlet of J.,jdot,big outlet of j,Neutral,17/03/2024
It was good but needs improvement,jdot,it was good but needs improvement,Positive,18/02/2024
Wonderful experience of shopping at J.. Alhumdulillah,jdot,wonderful experience of shopping at j alhumdulillah,Positive,28/03/2024
All the stuff and staff is good but when I talk about the fragrances I love this place.,jdot,all the stuff and staff is good but when i talk about the fragrances i love this place,Positive,01/03/2024
Excelent clothing brand for both male n female. Also have Fragrances with beautifull taste. Groom collection is very beautifull n affordable. V.helpful staff.must visit n enjoy.,jdot,excelent clothing brand for both male n female also have fragrances with beautifull taste groom collection is very beautifull n affordable vhelpful staffmust visit n enjoy,Positive,19/03/2024
"Good brand in many cities of pakistan
Good fabric, essential for men and women...",jdot,good brand in many cities of pakistan good fabric essential for men and women,Positive,10/01/2024
Its nice dress shop their experties are in shalwar kameez...kurta,jdot,its nice dress shop their experties are in shalwar kameezkurta,Positive,03/01/2024
Good verity nice place for shopping.,jdot,good verity nice place for shopping,Positive,14/02/2024
New ladies fashion,jdot,new ladies fashion,Positive,16/01/2024
I like junaid jamshed clothes,jdot,i like junaid jamshed clothes,Neutral,28/03/2024
Great.,jdot,great,Positive,16/02/2024
Nice place like their products,jdot,nice place like their products,Positive,22/02/2024
Only one in city,jdot,only one in city,Neutral,02/02/2024
Good place for shopping,jdot,good place for shopping,Positive,05/02/2024
Great,jdot,great,Positive,13/02/2024
Good place for men and women clothing,jdot,good place for men and women clothing,Positive,30/03/2024
Best cultural representative of Pakistani dresses,jdot,best cultural representative of pakistani dresses,Positive,01/01/2024
"Staff was helpful, altogether a pleasant experience",jdot,staff was helpful altogether a pleasant experience,Positive,21/03/2024
Nice,jdot,nice,Positive,01/03/2024
Nice dresses.,jdot,nice dresses,Positive,08/03/2024
V nice collection of perfumes. Specially zarrar. Kurta collection is good. Unstiched suits are also present. Special colors which are difficult to find on other places like grace can be found here.,jdot,v nice collection of perfumes specially zarrar kurta collection is good unstiched suits are also present special colors which are difficult to find on other places like grace can be found here,Positive,02/01/2024
A good place to buy good pakistani clothes for whole family,jdot,a good place to buy good pakistani clothes for whole family,Positive,24/02/2024
It was good but lacks variety.,jdot,it was good but lacks variety,Positive,05/03/2024
Very nice place to shop,jdot,very nice place to shop,Positive,11/01/2024
Good stuff with nice quality.,jdot,good stuff with nice quality,Positive,01/02/2024
Good place,jdot,good place,Positive,28/01/2024
Classic trendy clothes and shoes with fragrance,jdot,classic trendy clothes and shoes with fragrance,Positive,17/03/2024
Junaid jamshed is a great shopping center,jdot,junaid jamshed is a great shopping center,Positive,12/01/2024
Good Place for indeginous clothes,jdot,good place for indeginous clothes,Positive,31/01/2024
The shop was closed but no mention,jdot,the shop was closed but no mention,Negative,20/03/2024
Love this shop,jdot,love this shop,Positive,22/02/2024
This beautiful j. Outlet,jdot,this beautiful j outlet,Positive,12/02/2024
Average men kurtas yet very high prices. Just cashing the brand name!!,jdot,average men kurtas yet very high prices just cashing the brand name,Positive,27/01/2024
That was awesome please...,jdot,that was awesome please,Positive,24/01/2024
Nice place to buy dresses,jdot,nice place to buy dresses,Positive,25/01/2024
J. Very costly,jdot,j very costly,Positive,18/03/2024
I don't like the Quality,jdot,i dont like the quality,Neutral,10/02/2024
Prices are high,jdot,prices are high,Positive,22/01/2024
Good place with reasonable prices,jdot,good place with reasonable prices,Positive,29/01/2024
Good for emergency clothing,jdot,good for emergency clothing,Positive,14/02/2024
Sale upto 50 % going on,jdot,sale upto going on,Neutral,24/03/2024
Very nice collection...,jdot,very nice collection,Positive,27/02/2024
Variety is limited,jdot,variety is limited,Negative,03/01/2024
Good place for buying clothes,jdot,good place for buying clothes,Positive,20/01/2024
Atmosphere was awesome,jdot,atmosphere was awesome,Positive,03/02/2024
staff behavior good,jdot,staff behavior good,Positive,08/01/2024
Nice.,jdot,nice,Positive,14/02/2024
Nice collection,jdot,nice collection,Positive,23/01/2024
Endless variety under one roof,jdot,endless variety under one roof,Negative,07/01/2024
Can't find good clothes here now a days,jdot,cant find good clothes here now a days,Positive,12/03/2024
Perfect design with affordable prices,jdot,perfect design with affordable prices,Positive,10/03/2024
Nice designs at J.,jdot,nice designs at j,Positive,20/01/2024
Clothing brand j.,jdot,clothing brand j,Neutral,15/01/2024
Good place for Eastern wear,jdot,good place for eastern wear,Positive,30/01/2024
Outstanding shopping center,jdot,outstanding shopping center,Positive,02/02/2024
New arrivals,jdot,new arrivals,Positive,03/01/2024
Awesome,jdot,awesome,Positive,25/03/2024
Prices are very high.,jdot,prices are very high,Positive,25/01/2024
Stunning,jdot,stunning,Positive,18/02/2024
Extremely slow service,jdot,extremely slow service,Negative,08/02/2024
Wow,jdot,wow,Positive,23/01/2024
Good,jdot,good,Positive,05/01/2024
beat one,jdot,beat one,Neutral,29/02/2024
family shoping place,jdot,family shoping place,Neutral,27/02/2024
Nice,jdot,nice,Positive,19/01/2024
Not experienced staff,jdot,not experienced staff,Negative,13/01/2024
Awesome,jdot,awesome,Positive,27/03/2024
Good clothes,jdot,good clothes,Positive,08/03/2024
Loved it,jdot,loved it,Positive,19/02/2024
Good,jdot,good,Positive,03/01/2024
Boteeq at Railway Road opposite Panda Hotel,jdot,boteeq at railway road opposite panda hotel,Neutral,23/03/2024
Good fabric,jdot,good fabric,Positive,10/03/2024
Perfumes + Clothing Store,jdot,perfumes clothing store,Neutral,13/01/2024
Brand store.,jdot,brand store,Neutral,20/01/2024
Good collection,jdot,good collection,Positive,12/01/2024
Good,jdot,good,Positive,09/02/2024
Extra high rates,jdot,extra high rates,Positive,07/02/2024
Excellent,jdot,excellent,Positive,21/03/2024
Nice place,jdot,nice place,Positive,18/03/2024
Traditional and religious clothing,jdot,traditional and religious clothing,Neutral,05/01/2024
Very good,jdot,very good,Positive,28/03/2024
Its too good,jdot,its too good,Positive,11/03/2024
Good stuff,jdot,good stuff,Positive,07/03/2024
Awesome,jdot,awesome,Positive,20/02/2024
Expensive,jdot,expensive,Negative,01/03/2024
Limited quality,jdot,limited quality,Negative,21/02/2024
Reminds you of Junaid Jamshed,jdot,reminds you of junaid jamshed,Neutral,23/02/2024
Level,jdot,level,Neutral,23/03/2024
Excellent,jdot,excellent,Positive,03/03/2024
Good,jdot,good,Positive,18/02/2024
Excellent,jdot,excellent,Positive,21/02/2024
Nice.,jdot,nice,Positive,08/01/2024
Non cooperative staff,jdot,non cooperative staff,Neutral,04/01/2024
Good outlet,jdot,good outlet,Positive,11/03/2024
Not bad,jdot,not bad,Positive,11/02/2024
Nice shop,jdot,nice shop,Positive,06/02/2024
Nice place,jdot,nice place,Positive,14/02/2024
Love this,jdot,love this,Positive,10/01/2024
Best tailor in Bahawalpur,JeanJunction,best tailor in bahawalpur,Positive,27/01/2024
One of the Best place in Town for Suiting.,JeanJunction,one of the best place in town for suiting,Positive,09/03/2024
Best tailor in Bahawalpur,JeanJunction,best tailor in bahawalpur,Positive,19/03/2024
Best Tailor,JeanJunction,best tailor,Positive,12/01/2024
Good,JeanJunction,good,Positive,21/03/2024
My teler,JeanJunction,my teler,Neutral,04/01/2024
One of the best Tailor Shop in BWP,JeanJunction,one of the best tailor shop in bwp,Positive,16/02/2024
"Quality tailored for two piece, three pieces and dress stitching",JeanJunction,quality tailored for two piece three pieces and dress stitching,Neutral,22/03/2024
Good cloth and tailor stores,JeanJunction,good cloth and tailor stores,Positive,07/02/2024
Very nice Tailor..,JeanJunction,very nice tailor,Positive,05/01/2024
Good tailoring shop,JeanJunction,good tailoring shop,Positive,29/02/2024
One of good tailors,JeanJunction,one of good tailors,Positive,29/03/2024
Good,JeanJunction,good,Positive,31/03/2024
fine tailor but a bit expensive,JeanJunction,fine tailor but a bit expensive,Negative,28/02/2024
Fashion,JeanJunction,fashion,Neutral,07/02/2024
Expensive,JeanJunction,expensive,Negative,19/03/2024
Khaadi is best to buy women dressed. There stuff is best & their collection is always awesome.,Khaddi,khaadi is best to buy women dressed there stuff is best their collection is always awesome,Positive,09/02/2024
Ladies Fashion Brand With Everything,Khaddi,ladies fashion brand with everything,Neutral,30/01/2024
Khaadi... Long ago we visited but fabric of khaad is good.,Khaddi,khaadi long ago we visited but fabric of khaad is good,Positive,01/03/2024
"A typical Khaadi Store but sells only women clothing. Men and home section are missing from this branch, good stuff available but keep an eye on sale days",Khaddi,a typical khaadi store but sells only women clothing men and home section are missing from this branch good stuff available but keep an eye on sale days,Positive,06/02/2024
It's a very good clothes brand in bahawalpur,Khaddi,its a very good clothes brand in bahawalpur,Positive,04/03/2024
"Always good experience, but a bit costly",Khaddi,always good experience but a bit costly,Positive,15/02/2024
Nice place to buy women clothes,Khaddi,nice place to buy women clothes,Positive,04/01/2024
That's was awesome ,Khaddi,thats was awesome,Positive,29/01/2024
The best outfits ever,Khaddi,the best outfits ever,Positive,11/03/2024
It is very top class Clothing brand of the country. It is very big store and popular among women. It has all varieties of clothes for woman. It offers summer collection and wide range of varieties. It is on main location and attractive â€¦,Khaddi,it is very top class clothing brand of the country it is very big store and popular among women it has all varieties of clothes for woman it offers summer collection and wide range of varieties it is on main location and attractive â,Positive,15/03/2024
Parking is a big issue here,Khaddi,parking is a big issue here,Neutral,07/02/2024
Nice place for shopping,Khaddi,nice place for shopping,Positive,28/02/2024
Khaadi is always Best. I love Khaadi.,Khaddi,khaadi is always best i love khaadi,Positive,06/01/2024
Shopping place but expansive,Khaddi,shopping place but expansive,Neutral,29/03/2024
Limited designs and limited colours were present.,Khaddi,limited designs and limited colours were present,Negative,22/01/2024
Good place,Khaddi,good place,Positive,24/03/2024
Good,Khaddi,good,Positive,16/03/2024
Place where you can find stiched and instiched dresses. There is winter clearance sale,Khaddi,place where you can find stiched and instiched dresses there is winter clearance sale,Neutral,14/02/2024
A very good quality cloth shop for women,Khaddi,a very good quality cloth shop for women,Positive,04/02/2024
I have a good experience .Everything is nice.,Khaddi,i have a good experience everything is nice,Positive,27/01/2024
Love it,Khaddi,love it,Positive,29/02/2024
"Khaadi is brand very person can't afford it , very comfortable and costly.",Khaddi,khaadi is brand very person cant afford it very comfortable and costly,Positive,19/02/2024
A very best place of clothing.,Khaddi,a very best place of clothing,Positive,09/03/2024
Official store of khadi in bhawalpur. This is best place.,Khaddi,official store of khadi in bhawalpur this is best place,Positive,16/01/2024
Good,Khaddi,good,Positive,17/01/2024
A nice place I like to there,Khaddi,a nice place i like to there,Positive,01/02/2024
"Nice designer store, purchased gifts for family members.",Khaddi,nice designer store purchased gifts for family members,Positive,03/01/2024
Clothes brand,Khaddi,clothes brand,Neutral,20/03/2024
Best,Khaddi,best,Positive,22/03/2024
Branded and awsome kpra,Khaddi,branded and awsome kpra,Neutral,17/01/2024
Very nice collection of dresses available there...The staff is very polite and guide properly,Khaddi,very nice collection of dresses available therethe staff is very polite and guide properly,Positive,12/02/2024
Nice place for shopping stich and unstich clothes with reasonable price,Khaddi,nice place for shopping stich and unstich clothes with reasonable price,Positive,25/03/2024
mother day sale was good..and a nice range of clothes..,Khaddi,mother day sale was goodand a nice range of clothes,Positive,21/01/2024
"Awesome,",Khaddi,awesome,Positive,24/01/2024
Good brand.. but they are repeating their colour scheme and designs which does not give us impressive look,Khaddi,good brand but they are repeating their colour scheme and designs which does not give us impressive look,Positive,24/01/2024
Best ever clothing for both male nd female special,Khaddi,best ever clothing for both male nd female special,Positive,20/02/2024
Like to visit this place,Khaddi,like to visit this place,Neutral,15/02/2024
Variety of clothes,Khaddi,variety of clothes,Neutral,27/01/2024
Just a hack scheme to lure stupids into so called sales and looting hard earned money of good innocent and ignorant people,Khaddi,just a hack scheme to lure stupids into so called sales and looting hard earned money of good innocent and ignorant people,Positive,26/02/2024
Unprofessional staff with no skills how to make sale,Khaddi,unprofessional staff with no skills how to make sale,Neutral,06/01/2024
Unnecessarily expensive and cheap stuff for more price. Not recommended,Khaddi,unnecessarily expensive and cheap stuff for more price not recommended,Positive,02/02/2024
Famous among teenagers and female clients,Khaddi,famous among teenagers and female clients,Positive,24/02/2024
A little collection the shop has. It must expand.,Khaddi,a little collection the shop has it must expand,Negative,14/03/2024
Good quality and most likely cloth and design,Khaddi,good quality and most likely cloth and design,Positive,20/03/2024
"Good store, outdated and expensive clothes",Khaddi,good store outdated and expensive clothes,Negative,22/03/2024
Nice range of stitched and unstitched clothes.,Khaddi,nice range of stitched and unstitched clothes,Positive,04/01/2024
"Good cloths for men, women and kids",Khaddi,good cloths for men women and kids,Positive,03/02/2024
All of things excelent,Khaddi,all of things excelent,Neutral,17/01/2024
Khaadi is a nice outlet for its branded clothes.,Khaddi,khaadi is a nice outlet for its branded clothes,Positive,22/02/2024
A nice and contemporary outlet of Khaadi,Khaddi,a nice and contemporary outlet of khaadi,Positive,06/02/2024
Place worthy visit.,Khaddi,place worthy visit,Positive,11/02/2024
a good shop for brand lovers,Khaddi,a good shop for brand lovers,Positive,06/01/2024
Great place for getting clothes,Khaddi,great place for getting clothes,Positive,27/03/2024
Good brand for shoping,Khaddi,good brand for shoping,Positive,17/03/2024
A good shop for brand lovers,Khaddi,a good shop for brand lovers,Positive,22/01/2024
Khadi brand is best for shopping,Khaddi,khadi brand is best for shopping,Positive,07/02/2024
A good clothing brand,Khaddi,a good clothing brand,Positive,26/02/2024
Good at sale,Khaddi,good at sale,Positive,01/03/2024
Good,Khaddi,good,Positive,20/02/2024
Good,Khaddi,good,Positive,02/01/2024
Nothing,Khaddi,nothing,Neutral,18/01/2024
Price is hogher,Khaddi,price is hogher,Neutral,09/03/2024
needs more stuff,Khaddi,needs more stuff,Positive,23/03/2024
Best shop for best dress,Khaddi,best shop for best dress,Positive,20/01/2024
Nice place for shopping,Khaddi,nice place for shopping,Positive,07/01/2024
Expensive,Khaddi,expensive,Negative,21/03/2024
Love,Khaddi,love,Positive,10/03/2024
Nice collection,Khaddi,nice collection,Positive,31/03/2024
Good place,Khaddi,good place,Positive,18/03/2024
Much expensive,Khaddi,much expensive,Negative,14/03/2024
"Nice staff, good stuff",Khaddi,nice staff good stuff,Positive,27/01/2024
Taxes are very high,Khaddi,taxes are very high,Positive,18/02/2024
Awesome,Khaddi,awesome,Positive,18/03/2024
Good place to shop,Khaddi,good place to shop,Positive,12/02/2024
Its ok,Khaddi,its ok,Positive,16/02/2024
Good place,Khaddi,good place,Positive,28/02/2024
Nice place,Khaddi,nice place,Positive,03/02/2024
Good for clothing,Khaddi,good for clothing,Positive,03/02/2024
Economical.,Khaddi,economical,Positive,31/01/2024
Mostly collection for ladies,Khaddi,mostly collection for ladies,Positive,27/01/2024
Grand,Khaddi,grand,Positive,16/03/2024
Trendy,Khaddi,trendy,Positive,05/02/2024
Nothing to say,Khaddi,nothing to say,Neutral,07/02/2024
Outstanding,Khaddi,outstanding,Positive,02/01/2024
Good shopping,Khaddi,good shopping,Positive,29/03/2024
Clothing market' brands' expensive,Khaddi,clothing market brands expensive,Negative,20/01/2024
Nice place...,Khaddi,nice place,Positive,25/02/2024
Good environment,Khaddi,good environment,Positive,24/01/2024
Good,Khaddi,good,Positive,14/01/2024
The new khaadi store in town the design of store is awesome ?? the iconic design of the building in Bahawalpur overall ambiance is good for shopping ?? of unique design of fabric.,Khaddi,the new khaadi store in town the design of store is awesome the iconic design of the building in bahawalpur overall ambiance is good for shopping of unique design of fabric,Positive,11/02/2024
"One of the best design brand in Ready to wear clothes, staff is very supportive and professional. Best of all, they wear mask and ask customers to wear too! Kids variety is not available,  for that go to DC office branch.",Limelight,one of the best design brand in ready to wear clothes staff is very supportive and professional best of all they wear mask and ask customers to wear too kids variety is not available for that go to dc office branch,Positive,23/02/2024
Good quality stuff is available here in this store price are also reasonable rather than other clothing stores in bwp,Limelight,good quality stuff is available here in this store price are also reasonable rather than other clothing stores in bwp,Positive,12/01/2024
Goods are fresh. Good staff,Limelight,goods are fresh good staff,Positive,13/02/2024
average normal variety ..not maximum range they hav..,Limelight,average normal variety not maximum range they hav,Neutral,02/01/2024
My favourite place to buy ready to wear clothes.,Limelight,my favourite place to buy ready to wear clothes,Positive,29/03/2024
Ladies brand store in bahawalpur near to welcome chowk... Good variety & affordable prices.. road access is clean and spacious.,Limelight,ladies brand store in bahawalpur near to welcome chowk good variety affordable prices road access is clean and spacious,Positive,03/03/2024
Cheap and quality products available here,Limelight,cheap and quality products available here,Positive,20/03/2024
"Nice Decor , Nice Staff, very Organised ,",Limelight,nice decor nice staff very organised,Positive,04/03/2024
Price quality and service matching,Limelight,price quality and service matching,Neutral,14/02/2024
It's a Good place,Limelight,its a good place,Positive,10/03/2024
Nice ladies clothing collection for ladies,Limelight,nice ladies clothing collection for ladies,Positive,28/01/2024
Economical and stylish,Limelight,economical and stylish,Positive,20/01/2024
Very good place,Limelight,very good place,Positive,22/03/2024
Good for shopping,Limelight,good for shopping,Positive,13/03/2024
Because I love this brand... And all the stock of this brand good,Limelight,because i love this brand and all the stock of this brand good,Positive,06/03/2024
Nice place for ahoping,Limelight,nice place for ahoping,Positive,16/02/2024
Very good staff,Limelight,very good staff,Positive,06/01/2024
Nice branded shop,Limelight,nice branded shop,Positive,10/03/2024
Very nice collection and even nicer staff and customer service. Very pleased with the people here.,Limelight,very nice collection and even nicer staff and customer service very pleased with the people here,Positive,30/03/2024
Not so good,Limelight,not so good,Positive,27/03/2024
Nice place for shopping,Limelight,nice place for shopping,Positive,05/03/2024
Amazing,Limelight,amazing,Positive,20/01/2024
Once again. Great experience. Good atmosphere and positive attitude of salesmen. Thumbs up,Limelight,once again great experience good atmosphere and positive attitude of salesmen thumbs up,Positive,30/03/2024
Good clothes retailer. Polite salesmen.,Limelight,good clothes retailer polite salesmen,Positive,28/02/2024
Good prints. Customer service is very good,Limelight,good prints customer service is very good,Positive,03/01/2024
Good best ever dresses latest fashion,Limelight,good best ever dresses latest fashion,Positive,12/02/2024
Great,Limelight,great,Positive,07/01/2024
Good suiting,Limelight,good suiting,Positive,20/01/2024
A good place for quality cloths with reasonable price.,Limelight,a good place for quality cloths with reasonable price,Positive,09/03/2024
Clothing store,Limelight,clothing store,Neutral,07/03/2024
Has Something to get 5 stars,Limelight,has something to get stars,Neutral,10/01/2024
so so quality metirial available,Limelight,so so quality metirial available,Positive,30/03/2024
Small shop size,Limelight,small shop size,Negative,27/02/2024
Very nice place for stich & unstich wearing must bh visited,Limelight,very nice place for stich unstich wearing must bh visited,Positive,13/02/2024
Good stuff for my best half,Limelight,good stuff for my best half,Positive,17/01/2024
Good place for ladies stitch cloths.,Limelight,good place for ladies stitch cloths,Positive,05/02/2024
They should increase their stock,Limelight,they should increase their stock,Neutral,19/03/2024
Nice designes for females and economicsl prices.,Limelight,nice designes for females and economicsl prices,Positive,25/03/2024
Good place for designer cloths shopping,Limelight,good place for designer cloths shopping,Positive,06/03/2024
Nice,Limelight,nice,Positive,25/02/2024
Nice,Limelight,nice,Positive,22/02/2024
It is the good brand in bahawalpur for clothes....,Limelight,it is the good brand in bahawalpur for clothes,Positive,03/02/2024
Good,Limelight,good,Positive,28/03/2024
Nice place for women clothes,Limelight,nice place for women clothes,Positive,18/03/2024
It's good,Limelight,its good,Positive,10/02/2024
best collection.,Limelight,best collection,Positive,23/01/2024
Nice combinational dresses with jewellery,Limelight,nice combinational dresses with jewellery,Positive,06/01/2024
Best clothes in Town,Limelight,best clothes in town,Positive,27/01/2024
Affordable clothing,Limelight,affordable clothing,Neutral,14/03/2024
Expensive,Limelight,expensive,Negative,11/01/2024
Great collection,Limelight,great collection,Positive,25/03/2024
Very good ,Limelight,very good,Positive,19/01/2024
Great,Limelight,great,Positive,23/01/2024
Nice stuff good price,Limelight,nice stuff good price,Positive,25/03/2024
Good female dresses but not so good,Limelight,good female dresses but not so good,Positive,21/03/2024
